TREE_COLORS								
SEPARATOR TAB								
COLOR	#a6cee3							
DATASET_LABEL	Taxonomy							
LEGEND_COLORS	#EEE685	#4F94CD	#EE7600	#00CD00	#43CD80	#90EE90	#919191
LEGEND_LABELS	Actinobacteria	Bacteroidetes	Firmicutes	Alphaproteobacteria	Betaproteobacteria	Gammaproteobacteria	Others
LEGEND_SHAPES	1	1	1	1	1	1	1	1
LEGEND_TITLE	Taxonomy							
DATA								
HQB-1	range	#EE7600	Firmicutes					
HQB-2	range	#4F94CD	Bacteroidetes					
HQB-5	range	#90EE90	Gammaproteobacteria					
HQB-7	range	#EE7600	Firmicutes					
HQB-8	range	#90EE90	Gammaproteobacteria					
HQB-150	range	#90EE90	Gammaproteobacteria					
HQB-10	range	#EE7600	Firmicutes					
HQB-11	range	#90EE90	Gammaproteobacteria					
HQB-12	range	#4F94CD	Bacteroidetes					
HQB-293	range	#00CD00	Alphaproteobacteria					
HQB-14	range	#90EE90	Gammaproteobacteria					
HQB-16	range	#90EE90	Gammaproteobacteria					
HQB-19	range	#90EE90	Gammaproteobacteria					
HQB-20	range	#90EE90	Gammaproteobacteria					
HQB-21	range	#90EE90	Gammaproteobacteria					
HQB-22	range	#90EE90	Gammaproteobacteria					
HQB-23	range	#90EE90	Gammaproteobacteria					
HQB-24	range	#90EE90	Gammaproteobacteria					
HQB-25	range	#90EE90	Gammaproteobacteria					
HQB-26	range	#90EE90	Gammaproteobacteria					
HQB-27	range	#90EE90	Gammaproteobacteria					
HQB-28	range	#90EE90	Gammaproteobacteria					
HQB-29	range	#90EE90	Gammaproteobacteria					
HQB-30	range	#90EE90	Gammaproteobacteria					
HQB-32	range	#90EE90	Gammaproteobacteria					
HQB-34	range	#90EE90	Gammaproteobacteria					
HQB-35	range	#90EE90	Gammaproteobacteria					
HQB-36	range	#90EE90	Gammaproteobacteria					
HQB-37	range	#90EE90	Gammaproteobacteria					
HQB-38	range	#90EE90	Gammaproteobacteria					
HQB-39	range	#90EE90	Gammaproteobacteria					
HQB-40	range	#90EE90	Gammaproteobacteria					
HQB-41	range	#90EE90	Gammaproteobacteria					
HQB-42	range	#90EE90	Gammaproteobacteria					
HQB-45	range	#90EE90	Gammaproteobacteria					
HQB-46	range	#90EE90	Gammaproteobacteria					
HQB-47	range	#90EE90	Gammaproteobacteria					
HQB-49	range	#90EE90	Gammaproteobacteria					
HQB-50	range	#90EE90	Gammaproteobacteria					
HQB-51	range	#90EE90	Gammaproteobacteria					
HQB-52	range	#90EE90	Gammaproteobacteria					
HQB-53	range	#90EE90	Gammaproteobacteria					
HQB-54	range	#90EE90	Gammaproteobacteria					
HQB-55	range	#90EE90	Gammaproteobacteria					
HQB-56	range	#90EE90	Gammaproteobacteria					
HQB-57	range	#90EE90	Gammaproteobacteria					
HQB-58	range	#90EE90	Gammaproteobacteria					
HQB-59	range	#90EE90	Gammaproteobacteria					
HQB-60	range	#90EE90	Gammaproteobacteria					
HQB-61	range	#90EE90	Gammaproteobacteria					
HQB-62	range	#90EE90	Gammaproteobacteria					
HQB-63	range	#90EE90	Gammaproteobacteria					
HQB-64	range	#4F94CD	Bacteroidetes					
HQB-65	range	#EEE685	Actinobacteria					
HQB-67	range	#00CD00	Alphaproteobacteria					
HQB-68	range	#00CD00	Alphaproteobacteria					
HQB-69	range	#00CD00	Alphaproteobacteria					
HQB-70	range	#90EE90	Gammaproteobacteria					
HQB-71	range	#90EE90	Gammaproteobacteria					
HQB-72	range	#90EE90	Gammaproteobacteria					
HQB-73	range	#90EE90	Gammaproteobacteria					
HQB-74	range	#00CD00	Alphaproteobacteria					
HQB-75	range	#90EE90	Gammaproteobacteria					
HQB-76	range	#90EE90	Gammaproteobacteria					
HQB-77	range	#90EE90	Gammaproteobacteria					
HQB-78	range	#90EE90	Gammaproteobacteria					
HQB-79	range	#90EE90	Gammaproteobacteria					
HQB-81	range	#90EE90	Gammaproteobacteria					
HQB-82	range	#EE7600	Firmicutes					
HQB-83	range	#EE7600	Firmicutes					
HQB-84	range	#EE7600	Firmicutes					
HQB-85	range	#90EE90	Gammaproteobacteria					
HQB-86	range	#90EE90	Gammaproteobacteria					
HQB-87	range	#EE7600	Firmicutes					
HQB-88	range	#90EE90	Gammaproteobacteria					
HQB-89	range	#EE7600	Firmicutes					
HQB-90	range	#90EE90	Gammaproteobacteria					
HQB-91	range	#90EE90	Gammaproteobacteria					
HQB-93	range	#90EE90	Gammaproteobacteria					
HQB-94	range	#EE7600	Firmicutes					
HQB-95	range	#EE7600	Firmicutes					
HQB-96	range	#90EE90	Gammaproteobacteria					
HQB-97	range	#90EE90	Gammaproteobacteria					
HQB-99	range	#EE7600	Firmicutes					
HQB-100	range	#EE7600	Firmicutes					
HQB-101	range	#90EE90	Gammaproteobacteria					
HQB-102	range	#EE7600	Firmicutes					
HQB-103	range	#90EE90	Gammaproteobacteria					
HQB-104	range	#EE7600	Firmicutes					
HQB-105	range	#90EE90	Gammaproteobacteria					
HQB-106	range	#EE7600	Firmicutes					
HQB-107	range	#90EE90	Gammaproteobacteria					
HQB-108	range	#EE7600	Firmicutes					
HQB-109	range	#4F94CD	Bacteroidetes					
HQB-110	range	#90EE90	Gammaproteobacteria					
HQB-111	range	#90EE90	Gammaproteobacteria					
HQB-112	range	#EE7600	Firmicutes					
HQB-113	range	#4F94CD	Bacteroidetes					
HQB-114	range	#90EE90	Gammaproteobacteria					
HQB-115	range	#90EE90	Gammaproteobacteria					
HQB-116	range	#90EE90	Gammaproteobacteria					
HQB-117	range	#90EE90	Gammaproteobacteria					
HQB-118	range	#EE7600	Firmicutes					
HQB-119	range	#4F94CD	Bacteroidetes					
HQB-120	range	#EE7600	Firmicutes					
HQB-121	range	#4F94CD	Bacteroidetes					
HQB-122	range	#EE7600	Firmicutes					
HQB-123	range	#EE7600	Firmicutes					
HQB-124	range	#EEE685	Actinobacteria					
HQB-125	range	#EE7600	Firmicutes					
HQB-126	range	#EE7600	Firmicutes					
HQB-127	range	#EE7600	Firmicutes					
HQB-128	range	#EE7600	Firmicutes					
HQB-129	range	#4F94CD	Bacteroidetes					
HQB-130	range	#4F94CD	Bacteroidetes					
HQB-131	range	#4F94CD	Bacteroidetes					
HQB-132	range	#4F94CD	Bacteroidetes					
HQB-134	range	#4F94CD	Bacteroidetes					
HQB-136	range	#90EE90	Gammaproteobacteria					
