DATASET_SIMPLEBAR
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	count%
LEGEND_COLORS	#000000
LEGEND_LABELS	Min. (0.0), Max. (6.6)
LEGEND_SHAPES	1
LEGEND_TITLE	count%
MARGIN	5
WIDTH	200
DATA
HQB-1	0.052328624
HQB-2	0.026164312
HQB-5	0.052328624
HQB-7	0.026164312
HQB-8	4.055468341
HQB-150	0.078492936
HQB-10	0.235478807
HQB-11	0.41862899
HQB-12	0.183150183
HQB-293	0.261643119
HQB-14	0.026164312
HQB-16	0.026164312
HQB-19	0.680272109
HQB-20	0.994243851
HQB-21	2.040816327
HQB-22	0.575614861
HQB-23	3.192046049
HQB-24	0.235478807
HQB-25	0.078492936
HQB-26	0.654107797
HQB-27	0.654107797
HQB-28	0.575614861
HQB-29	0.052328624
HQB-30	0.470957614
HQB-32	4.029304029
HQB-34	0.261643119
HQB-35	0.261643119
HQB-36	0.287807431
HQB-37	0.156985871
HQB-38	0.026164312
HQB-39	0.130821559
HQB-40	0.026164312
HQB-41	0.156985871
HQB-42	0.156985871
HQB-45	0.183150183
HQB-46	1.25588697
HQB-47	0.209314495
HQB-49	6.619570905
HQB-50	1.229722658
HQB-51	0.156985871
HQB-52	0.026164312
HQB-53	0.444793302
HQB-54	0.994243851
HQB-55	0.078492936
HQB-56	0.104657248
HQB-57	0.340136054
HQB-58	0.026164312
HQB-59	0.915750916
HQB-60	0.497121926
HQB-61	0.183150183
HQB-62	0.235478807
HQB-63	0.209314495
HQB-64	1.151229723
HQB-65	0.026164312
HQB-67	0.287807431
HQB-68	0.026164312
HQB-69	1.177394035
HQB-70	0.078492936
HQB-71	1.046572475
HQB-72	0.156985871
HQB-73	0.052328624
HQB-74	0.104657248
HQB-75	1.857666143
HQB-76	0.366300366
HQB-77	0.026164312
HQB-78	0.026164312
HQB-79	0.026164312
HQB-81	0.366300366
HQB-82	0.078492936
HQB-83	0.026164312
HQB-84	0.078492936
HQB-85	0.052328624
HQB-86	0.052328624
HQB-87	0.026164312
HQB-88	0.052328624
HQB-89	0.052328624
HQB-90	0.052328624
HQB-91	0.078492936
HQB-93	0.209314495
HQB-94	0.026164312
HQB-95	0.052328624
HQB-96	1.334379906
HQB-97	0.235478807
HQB-99	0.078492936
HQB-100	0.183150183
HQB-101	0.915750916
HQB-102	0.026164312
HQB-103	0.130821559
HQB-104	0.026164312
HQB-105	0.209314495
HQB-106	0.026164312
HQB-107	0.026164312
HQB-108	0.026164312
HQB-109	0.104657248
HQB-110	0.497121926
HQB-111	0.078492936
HQB-112	0.026164312
HQB-113	0.235478807
HQB-114	0.078492936
HQB-115	0.052328624
HQB-116	0.052328624
HQB-117	0.078492936
HQB-118	0.392464678
HQB-119	0.026164312
HQB-120	0.104657248
HQB-121	0.026164312
HQB-122	0.078492936
HQB-123	2.773417059
HQB-124	0.183150183
HQB-125	0.052328624
HQB-126	0.026164312
HQB-127	0.183150183
HQB-128	0.026164312
HQB-129	0.130821559
HQB-130	0.575614861
HQB-131	0.287807431
HQB-132	0.287807431
HQB-134	0.052328624
HQB-136	0.104657248
HQB-137	0.026164312
HQB-138	0.026164312
HQB-139	0.052328624
HQB-140	0.026164312
HQB-141	0.156985871
HQB-142	0.183150183
HQB-143	0.209314495
HQB-145	0.052328624
HQB-146	0.026164312
HQB-147	0.287807431
HQB-148	0.052328624
HQB-149	0.026164312
HQB-151	0.026164312
HQB-152	0.052328624
HQB-153	0.052328624
HQB-154	0.026164312
HQB-155	0.052328624
HQB-156	0.209314495
HQB-157	0.026164312
HQB-158	0.026164312
HQB-159	0.052328624
HQB-160	0.026164312
HQB-161	0.026164312
HQB-162	0.026164312
HQB-163	0.078492936
HQB-164	0.026164312
HQB-165	0.026164312
HQB-166	0.130821559
HQB-167	0.052328624
HQB-168	0.026164312
HQB-169	0.052328624
HQB-170	0.078492936
HQB-171	0.052328624
HQB-172	0.130821559
HQB-173	0.026164312
HQB-174	0.261643119
HQB-175	0.026164312
HQB-176	0.026164312
HQB-177	0.470957614
HQB-178	0.052328624
HQB-179	0.052328624
HQB-180	0.026164312
HQB-181	0.052328624
HQB-182	0.026164312
HQB-185	0.183150183
HQB-186	2.014652015
HQB-187	0.392464678
HQB-188	0.706436421
HQB-189	0.052328624
HQB-190	0.104657248
HQB-191	0.156985871
HQB-192	0.026164312
HQB-193	0.026164312
HQB-194	0.026164312
HQB-196	0.209314495
HQB-198	2.328623757
HQB-199	0.026164312
HQB-200	0.052328624
HQB-201	0.209314495
HQB-202	0.523286238
HQB-203	0.026164312
HQB-204	0.026164312
HQB-205	0.183150183
HQB-206	0.130821559
HQB-207	0.078492936
HQB-208	0.026164312
HQB-209	0.575614861
HQB-210	0.026164312
HQB-211	0.444793302
HQB-212	0.235478807
HQB-213	0.026164312
HQB-214	0.96807954
HQB-215	0.026164312
HQB-218	0.052328624
HQB-219	0.026164312
HQB-220	1.072736787
HQB-221	0.052328624
HQB-222	0.026164312
HQB-223	0.104657248
HQB-224	0.052328624
HQB-225	0.052328624
HQB-226	0.026164312
HQB-227	0.026164312
HQB-228	0.026164312
HQB-229	0.026164312
HQB-230	0.052328624
HQB-232	0.052328624
HQB-233	0.026164312
HQB-234	0.026164312
HQB-235	0.026164312
HQB-236	0.026164312
HQB-237	0.130821559
HQB-238	0.104657248
HQB-239	0.026164312
HQB-240	0.052328624
HQB-241	0.183150183
HQB-242	0.026164312
HQB-243	0.104657248
HQB-244	0.130821559
HQB-245	0.941915228
HQB-246	0.026164312
HQB-247	0.078492936
HQB-248	0.156985871
HQB-249	0.026164312
HQB-250	0.052328624
HQB-251	0.287807431
HQB-252	0.026164312
HQB-253	0.052328624
HQB-254	0.078492936
HQB-255	0.026164312
HQB-256	0.340136054
HQB-257	0.052328624
HQB-259	0.104657248
HQB-260	0.104657248
HQB-261	0.026164312
HQB-263	0.026164312
HQB-264	0.026164312
HQB-265	0.183150183
HQB-266	1.517530089
HQB-267	0.052328624
HQB-268	0.287807431
HQB-269	0.026164312
HQB-271	0.104657248
HQB-272	0.104657248
HQB-273	0.026164312
HQB-274	0.183150183
HQB-275	0.026164312
HQB-276	0.026164312
HQB-277	0.026164312
HQB-278	0.026164312
HQB-279	0.104657248
HQB-280	0.052328624
HQB-281	0.026164312
HQB-282	0.261643119
HQB-283	0.078492936
HQB-285	0.052328624
HQB-286	0.104657248
HQB-288	0.052328624
HQB-289	0.052328624
HQB-290	0.026164312
HQB-291	0.261643119
HQB-292	0.026164312
HQB-294	0.052328624
HQB-296	0.026164312
HQB-297	0.026164312
HQB-298	0.261643119
HQB-299	0.209314495
HQB-300	0.104657248
HQB-301	0.104657248
HQB-302	0.026164312
HQB-303	0.052328624
HQB-304	0.078492936
HQB-305	0.104657248
HQB-306	0.026164312
HQB-308	0.026164312
HQB-310	0.052328624
HQB-312	0.026164312
HQB-313	0.052328624
HQB-314	0.052328624
HQB-315	0.026164312
HQB-316	0.078492936
HQB-317	0.209314495
HQB-318	0.026164312
HQB-319	0.104657248
HQB-320	0.026164312
HQB-321	0.026164312
HQB-322	0.026164312
HQB-323	0.130821559
HQB-324	0.052328624
HQB-325	0.078492936
HQB-326	0.026164312
HQB-327	0.026164312
HQB-328	0.156985871
HQB-329	0.156985871
HQB-330	0.026164312
HQB-331	0.261643119
HQB-332	0.026164312
HQB-333	0.026164312
HQB-334	0.026164312
HQB-335	0.026164312
HQB-336	0.026164312
HQB-337	0.026164312
HQB-338	0.026164312
HQB-339	0.026164312
HQB-340	0.130821559
HQB-341	0.026164312
HQB-342	0.026164312
HQB-343	1.020408163
HQB-344	0.313971743
HQB-345	0.078492936
HQB-346	0.026164312
HQB-347	0.052328624
HQB-348	0.026164312
HQB-349	0.052328624
HQB-350	0.261643119
HQB-351	0.392464678
HQB-352	0.026164312
HQB-353	1.491365777
HQB-354	0.026164312
HQB-355	0.026164312
HQB-356	1.229722658
HQB-357	0.026164312
HQB-358	0.104657248
HQB-359	0.052328624
HQB-360	0.078492936
HQB-361	0.313971743
HQB-362	0.052328624
HQB-363	0.078492936
HQB-365	0.209314495
HQB-366	0.183150183
HQB-367	0.183150183
HQB-368	0.313971743
HQB-369	0.523286238
HQB-370	0.026164312
HQB-371	0.313971743
HQB-372	0.156985871
HQB-375	0.052328624
HQB-376	0.026164312
HQB-377	0.156985871
HQB-378	0.130821559
HQB-379	0.026164312
HQB-380	0.026164312
HQB-381	0.183150183
HQB-382	0.026164312
HQB-383	0.026164312
HQB-384	0.052328624
HQB-385	0.261643119
HQB-386	0.104657248
HQB-387	0.784929356
HQB-388	0.41862899
HQB-389	0.026164312
HQB-390	0.026164312
HQB-391	0.026164312
HQB-392	0.052328624
HQB-393	0.052328624
HQB-394	0.026164312
HQB-395	0.078492936
HQB-396	0.026164312
HQB-397	0.078492936
HQB-398	0.052328624
HQB-399	0.026164312
HQB-400	0.026164312
HQB-401	0.209314495
HQB-403	0.627943485
HQB-404	0.026164312
HQB-406	0.261643119
HQB-407	0.026164312
HQB-408	0.130821559
HQB-409	0.026164312
HQB-410	0.052328624
HQB-411	0.052328624
HQB-412	0.052328624
HQB-413	0.026164312
HQB-414	0.078492936
HQB-415	0.026164312
HQB-416	0.026164312
HQB-417	0.026164312
HQB-418	0.026164312
HQB-419	0.026164312
HQB-420	0.052328624
HQB-421	0.026164312
HQB-423	0.104657248
HQB-424	0.366300366
HQB-425	0.026164312
HQB-426	0.026164312
HQB-427	2.066980638
HQB-428	0.052328624
HQB-429	0.078492936
HQB-430	0.026164312
HQB-431	0.026164312
HQB-432	0.078492936
HQB-433	0.156985871
HQB-434	0.261643119
HQB-435	0.052328624
HQB-436	0.235478807
HQB-437	0.026164312
HQB-438	0.026164312
HQB-439	0.130821559
HQB-440	0.026164312
HQB-441	0.026164312
HQB-442	0.078492936
HQB-443	0.026164312
HQB-444	0.026164312
HQB-445	0.026164312
HQB-446	0.026164312
HQB-447	0.026164312
HQB-448	0.026164312
HQB-449	0.026164312
HQB-450	0.026164312
HQB-451	0.026164312
HQB-452	0.026164312
HQB-453	0.026164312
HQB-455	0.052328624
HQB-456	0.235478807
HQB-457	0.026164312
HQB-458	0.026164312
HQB-459	0.052328624
HQB-460	0.183150183
HQB-461	0.026164312
HQB-462	0.209314495
HQB-463	0.026164312
HQB-464	0.026164312
HQB-465	0.026164312
HQB-466	0.026164312
HQB-467	0.052328624
HQB-468	0.052328624
HQB-469	0.026164312
HQB-470	0.052328624
HQB-471	0.026164312
HQB-472	0.052328624
HQB-473	0.026164312
HQB-474	0.026164312
HQB-475	0.026164312
HQB-476	0.026164312
HQB-477	0.026164312
HQB-478	0.104657248
HQB-479	0.052328624
HQB-480	0.026164312
HQB-481	0.026164312
HQB-483	0.340136054
HQB-484	0.026164312
HQB-485	0.156985871
HQB-486	0.052328624
HQB-487	0.104657248
HQB-488	0.026164312
HQB-489	0.026164312
HQB-490	0.026164312
HQB-491	0.104657248
HQB-492	0.026164312
HQB-493	0.052328624
HQB-494	0.052328624
HQB-495	0.130821559
HQB-496	0.026164312
HQB-497	0.026164312
HQB-498	0.026164312
HQB-499	0.078492936
HQB-500	0.078492936
HQB-501	0.026164312
HQB-502	0.026164312
HQB-503	0.026164312
HQB-504	0.104657248
HQB-505	0.078492936
HQB-506	0.026164312
HQB-507	0.026164312
HQB-508	0.026164312
HQB-509	0.026164312
HQB-510	0.026164312
HQB-511	0.026164312
HQB-512	0.052328624
HQB-513	0.052328624
HQB-514	0.026164312
HQB-515	0.052328624
HQB-516	0.026164312
HQB-517	0.026164312
HQB-519	0.130821559
HQB-520	0.156985871
HQB-521	0.026164312
HQB-522	0.026164312
HQB-523	0.026164312
HQB-524	0.026164312
HQB-525	0.052328624
HQB-526	0.052328624
HQB-527	0.026164312
HQB-528	0.026164312
HQB-529	0.078492936
HQB-530	0.026164312
HQB-531	0.026164312
HQB-532	0.026164312
HQB-533	0.026164312
HQB-534	0.026164312
HQB-535	0.026164312
HQB-536	0.026164312
HQB-537	0.026164312
HQB-538	0.052328624
HQB-539	0.026164312
HQB-540	0.026164312
HQB-541	0.026164312
HQB-542	0.026164312
HQB-543	0.026164312
HQB-544	0.026164312
HQB-545	0.026164312
HQB-546	0.052328624
HQB-547	0.026164312
HQB-548	0.026164312
HQB-549	0.052328624
HQB-550	0.026164312
HQB-551	0.130821559
HQB-552	0.052328624
HQB-553	0.026164312
HQB-554	0.026164312
HQB-555	0.078492936
HQB-556	0.209314495
HQB-557	0.026164312
HQB-558	0.026164312
HQB-559	0.026164312
HQB-560	0.026164312
HQB-561	0.026164312
HQB-562	0.104657248
HQB-563	0.026164312
HQB-564	0.052328624
HQB-565	0.156985871
HQB-566	0.026164312
HQB-568	0.026164312
HQB-569	0.026164312
HQB-570	0.026164312
HQB-571	0.026164312
HQB-572	0.026164312
HQB-573	0.026164312
HQB-576	0.026164312
HQB-577	0.026164312
HQB-578	0.130821559
HQB-579	0.026164312
HQB-580	0.078492936
HQB-581	0.026164312
HQB-582	0.026164312
HQB-583	0.052328624
HQB-584	0.026164312
HQB-585	0.026164312
HQB-586	0.052328624
HQB-587	0.026164312
