sample	Date	oder	year	month	season
Y20Jun1	Jun-20	1	2020	6	Summer
Y20Jun2	Jun-20	2	2020	6	Summer
Y20Jun3	Jun-20	3	2020	6	Summer
Y20Jun4	Jun-20	4	2020	6	Summer
Y20Jun5	Jun-20	5	2020	6	Summer
Y20Jun6	Jun-20	6	2020	6	Summer
Y20Jun7	Jun-20	7	2020	6	Summer
Y20Jun8	Jun-20	8	2020	6	Summer
Y20Jun9	Jun-20	9	2020	6	Summer
Y20Jun10	Jun-20	10	2020	6	Summer
Y20Aug1	Aug-20	1	2020	8	Autumn
Y20Aug2	Aug-20	2	2020	8	Autumn
Y20Aug3	Aug-20	3	2020	8	Autumn
Y20Aug4	Aug-20	4	2020	8	Autumn
Y20Aug5	Aug-20	5	2020	8	Autumn
Y20Aug6	Aug-20	6	2020	8	Autumn
Y20Aug7	Aug-20	7	2020	8	Autumn
Y20Aug8	Aug-20	8	2020	8	Autumn
Y20Aug9	Aug-20	9	2020	8	Autumn
Y20Aug10	Aug-20	10	2020	8	Autumn
Y20Oct1	Oct-20	1	2020	10	Winter
Y20Oct2	Oct-20	2	2020	10	Winter
Y20Oct3	Oct-20	3	2020	10	Winter
Y20Oct4	Oct-20	4	2020	10	Winter
Y20Oct5	Oct-20	5	2020	10	Winter
Y20Oct6	Oct-20	6	2020	10	Winter
Y20Oct7	Oct-20	7	2020	10	Winter
Y20Oct8	Oct-20	8	2020	10	Winter
Y20Oct9	Oct-20	9	2020	10	Winter
Y20Oct10	Oct-20	10	2020	10	Winter
Y20Dec1	Dec-20	1	2020	12	Winter
Y20Dec2	Dec-20	2	2020	12	Winter
Y20Dec3	Dec-20	3	2020	12	Winter
Y20Dec4	Dec-20	4	2020	12	Winter
Y20Dec5	Dec-20	5	2020	12	Winter
Y20Dec6	Dec-20	6	2020	12	Winter
Y20Dec7	Dec-20	7	2020	12	Winter
Y20Dec8	Dec-20	8	2020	12	Winter
Y20Dec9	Dec-20	9	2020	12	Winter
Y20Dec10	Dec-20	10	2020	12	Winter
Y21Jan1	Jan-21	1	2021	1	Spring
Y21Jan2	Jan-21	2	2021	1	Spring
Y21Jan3	Jan-21	3	2021	1	Spring
Y21Jan4	Jan-21	4	2021	1	Spring
Y21Jan5	Jan-21	5	2021	1	Spring
Y21Jan6	Jan-21	6	2021	1	Spring
Y21Jan7	Jan-21	7	2021	1	Spring
Y21Jan8	Jan-21	8	2021	1	Spring
Y21Jan9	Jan-21	9	2021	1	Spring
Y21Jan10	Jan-21	10	2021	1	Spring
Y21Feb1	Feb-21	1	2021	2	Spring
Y21Feb2	Feb-21	2	2021	2	Spring
Y21Feb3	Feb-21	3	2021	2	Spring
Y21Feb4	Feb-21	4	2021	2	Spring
Y21Feb5	Feb-21	5	2021	2	Spring
Y21Feb6	Feb-21	6	2021	2	Spring
Y21Feb7	Feb-21	7	2021	2	Spring
Y21Feb8	Feb-21	8	2021	2	Spring
Y21Feb9	Feb-21	9	2021	2	Spring
Y21Feb10	Feb-21	10	2021	2	Spring
Y21Apr1	Apr-21	1	2021	4	Summer
Y21Apr2	Apr-21	2	2021	4	Summer
Y21Apr3	Apr-21	3	2021	4	Summer
Y21Apr4	Apr-21	4	2021	4	Summer
Y21Apr5	Apr-21	5	2021	4	Summer
Y21Apr6	Apr-21	6	2021	4	Summer
Y21Apr7	Apr-21	7	2021	4	Summer
Y21Apr8	Apr-21	8	2021	4	Summer
Y21Apr9	Apr-21	9	2021	4	Summer
Y21Apr10	Apr-21	10	2021	4	Summer
Y21Jun1	Jun-21	1	2021	6	Summer
Y21Jun2	Jun-21	2	2021	6	Summer
Y21Jun3	Jun-21	3	2021	6	Summer
Y21Jun4	Jun-21	4	2021	6	Summer
Y21Jun5	Jun-21	5	2021	6	Summer
Y21Jun6	Jun-21	6	2021	6	Summer
Y21Jun7	Jun-21	7	2021	6	Summer
Y21Jun8	Jun-21	8	2021	6	Summer
Y21Jun9	Jun-21	9	2021	6	Summer
Y21Jun10	Jun-21	10	2021	6	Summer
