LABELS
SEPARATOR TAB
DATA
HQB-10	Alkalihalobacillus algicola
HQB-107	Pseudomonas putida
HQB-110	Thalassotalea litorea
HQB-111	Vibrio profundi
HQB-114	Vibrio astriarenae
HQB-118	Alkalihalobacillus hwajinpoensis
HQB-123	Staphylococcus warneri
HQB-127	Bacillus altitudinis
HQB-136	Shewanella schlegeliana
HQB-138	Metabacillus halosaccharovorans
HQB-150	Thaumasiovibrio sp.
HQB-152	Sulfitobacter faviae
HQB-154	HQ336491_s
HQB-162	Shewanella gelidii
HQB-171	Vibrio hepatarius
HQB-172	Alteromonas gracilis
HQB-174	Vibrio campbellii
HQB-177	Yoonia maritima
HQB-179	Parasphingorhabdus flavimaris
HQB-180	Lacinutrix undariae
HQB-181	Halobacillus trueperi
HQB-187	Pseudoalteromonas atlantica
HQB-19	Vibrio harveyi
HQB-20	Vibrio chagasii
HQB-200	Bacillus pacificus
HQB-21	Vibrio maritimus
HQB-22	Vibrio parahaemolyticus
HQB-226	Rheinheimera baltica
HQB-240	Salinimonas iocasae
HQB-263	Paenisporosarcina quisquiliarum
HQB-267	Paracoccus marcusii
HQB-279	Loktanella salsilacus
HQB-281	Marinobacter nauticus
HQB-294	Litoreibacter albidus
HQB-323	Sulfitobacter donghicola
HQB-325	Pseudoclavibacter helvolus
HQB-332	Brachybacterium vulturis
HQB-34	Pseudoalteromonas spongiae
HQB-345	Vibrio atypicus
HQB-347	Neptunomonas phycophila
HQB-355	Postechiella marina
HQB-361	Psychrobacter nivimaris
HQB-372	Psychrobacter piscatorii
HQB-39	BBSC_s
HQB-399	Saccharospirillum alexandrii
HQB-410	Enterovibrio calviensis
HQB-423	Planococcus donghaensis
HQB-428	Marinagarivorans algicola
HQB-429	Pseudomonas laoshanensis
HQB-440	JQEC_s
HQB-452	Microbacterium foliorum
HQB-458	Rhodococcus sovatensis
HQB-46	Shewanella electrodiphila
HQB-464	Arthrobacter bussei
HQB-465	Arenivirga flava
HQB-471	Photobacterium piscicola
HQB-473	MRYB_s
HQB-476	Woeseia oceani
HQB-484	Niallia oryzisoli 
HQB-491	Pseudomonas alcaligenes
HQB-497	Lactococcus chungangensis
HQB-498	Galactobacter valiniphilus
HQB-5	Shewanella algae
HQB-55	Marinomonas posidonica
HQB-70	Thalassotalea profundi
HQB-75	Pseudoalteromonas distincta
HQB-76	Shewanella colwelliana
HQB-86	Shewanella waksmanii
HQB-88	Shewanella maritima
HQB-90	Shewanella atlantica
HQB-91	Aliivibrio fischeri
HQB-94	Cytobacillus oceanisediminis
HQB-99	Priestia aryabhattai
OP50	Escherichia coli OP50
