sample	order	name	group	merge
Inoculum-1	1	Inoculum-1	Inoculum	Inoculum
Inoculum-2	2	Inoculum-2	Inoculum	Inoculum
Inoculum-3	3	Inoculum-3	Inoculum	Inoculum
N1.2	4	N1.2	Microbiota-N2	N2-gut-day1
N1.3	5	N1.3	Microbiota-N2	N2-gut-day1
N3.1	6	N3.1	Microbiota-N2	N2-gut-day3
N3.4	7	N3.4	Microbiota-N2	N2-gut-day3
N3.5	8	N3.5	Microbiota-N2	N2-gut-day3
N3.6	9	N3.6	Microbiota-N2	N2-gut-day3
N5.1	10	N5.1	Microbiota-N2	N2-gut-day5
N5.2	11	N5.2	Microbiota-N2	N2-gut-day5
N5.4	12	N5.4	Microbiota-N2	N2-gut-day5
N5.5	13	N5.5	Microbiota-N2	N2-gut-day5
N5.6	14	N5.6	Microbiota-N2	N2-gut-day5
N7.1	15	N7.1	Microbiota-N2	N2-gut-day7
N7.2	16	N7.2	Microbiota-N2	N2-gut-day7
N7.3	17	N7.3	Microbiota-N2	N2-gut-day7
N7.4	18	N7.4	Microbiota-N2	N2-gut-day7
N7.5	19	N7.5	Microbiota-N2	N2-gut-day7
NL1.1	20	NL1.1	Lawn-N2	N2-lawn-day1
NL1.2	21	NL1.2	Lawn-N2	N2-lawn-day1
NL1.3	22	NL1.3	Lawn-N2	N2-lawn-day1
NL3.1	23	NL3.1	Lawn-N2	N2-lawn-day3
NL3.2	24	NL3.2	Lawn-N2	N2-lawn-day3
NL3.3	25	NL3.3	Lawn-N2	N2-lawn-day3
NL3.4	26	NL3.4	Lawn-N2	N2-lawn-day3
NL3.5	27	NL3.5	Lawn-N2	N2-lawn-day3
NL3.6	28	NL3.6	Lawn-N2	N2-lawn-day3
NL5.1	29	NL5.1	Lawn-N2	N2-lawn-day5
NL5.2	30	NL5.2	Lawn-N2	N2-lawn-day5
NL5.3	31	NL5.3	Lawn-N2	N2-lawn-day5
NL5.4	32	NL5.4	Lawn-N2	N2-lawn-day5
NL5.5	33	NL5.5	Lawn-N2	N2-lawn-day5
NL5.6	34	NL5.6	Lawn-N2	N2-lawn-day5
NL7.1	35	NL7.1	Lawn-N2	N2-lawn-day7
NL7.2	36	NL7.2	Lawn-N2	N2-lawn-day7
NL7.3	37	NL7.3	Lawn-N2	N2-lawn-day7
NL7.4	38	NL7.4	Lawn-N2	N2-lawn-day7
NL7.5	39	NL7.5	Lawn-N2	N2-lawn-day7
NL7.6	40	NL7.6	Lawn-N2	N2-lawn-day7
NL7.7	41	NL7.7	Lawn-N2	N2-lawn-day7
F3.5	42	F3.5	Microbiota-F23	F23-gut-day3
F3.6	43	F3.6	Microbiota-F23	F23-gut-day3
F3.7	44	F3.7	Microbiota-F23	F23-gut-day3
FL1.1	45	FL1.1	Lawn-F23	F23-lawn-day1
FL1.2	46	FL1.2	Lawn-F23	F23-lawn-day1
FL1.3	47	FL1.3	Lawn-F23	F23-lawn-day1
FL3.1	48	FL3.1	Lawn-F23	F23-lawn-day3
FL3.2	49	FL3.2	Lawn-F23	F23-lawn-day3
FL3.3	50	FL3.3	Lawn-F23	F23-lawn-day3
FL3.4	51	FL3.4	Lawn-F23	F23-lawn-day3
FL3.5	52	FL3.5	Lawn-F23	F23-lawn-day3
FL5.1	53	FL5.1	Lawn-F23	F23-lawn-day5
FL5.2	54	FL5.2	Lawn-F23	F23-lawn-day5
FL5.3	55	FL5.3	Lawn-F23	F23-lawn-day5
F1.1-all	56	F1.1-all	Microbiota-F23	F23-gut-all-day1
F1.2-all	57	F1.2-all	Microbiota-F23	F23-gut-all-day1
