BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
HQB-107_c00002_NODE_2_...region001	c00002_NODE_2_..	NODE_2_length_511589_cov_111.143316	NRPS	NRPS		
HQB-107_c00002_NODE_2_...region002	c00002_NODE_2_..	NODE_2_length_511589_cov_111.143316	T1PKS.NRPS	PKS-NRP_Hybrids		
HQB-111_c00013_NODE_13...region001	c00013_NODE_13..	NODE_13_length_166604_cov_88.846145	NRPS	NRPS		
HQB-127_c00005_NODE_5_...region001	c00005_NODE_5_..	NODE_5_length_208941_cov_140.390412	NRPS	NRPS		
HQB-127_c00010_NODE_10...region001	c00010_NODE_10..	NODE_10_length_120216_cov_139.866313	NRPS	NRPS		
HQB-127_c00011_NODE_11...region001	c00011_NODE_11..	NODE_11_length_111488_cov_139.439508	NRPS	NRPS		
HQB-127_c00016_NODE_16...region001	c00016_NODE_16..	NODE_16_length_10179_cov_146.395367	NRPS	NRPS		
HQB-138_c00016_NODE_16...region001	c00016_NODE_16..	NODE_16_length_113603_cov_92.922502	RiPP-like.NRPS.LAP	Others		
HQB-152_Chr1.region004	Chr1	Chr1	T1PKS.NRPS-like	PKS-NRP_Hybrids		
HQB-154_Chr1.region002	Chr1	Chr1	T1PKS.NRPS-like	PKS-NRP_Hybrids		
HQB-174_c00001_NODE_1_...region001	c00001_NODE_1_..	NODE_1_length_1099952_cov_78.466304	NRPS	NRPS		
HQB-174_c00009_NODE_9_...region001	c00009_NODE_9_..	NODE_9_length_128418_cov_91.842786	NRPS	NRPS		
HQB-177_c00008_NODE_8_...region002	c00008_NODE_8_..	NODE_8_length_189623_cov_256.761335	NRPS	NRPS		
HQB-19_NODE_16...region001	c00016_NODE_16..	NODE_16_length_104739_cov_91.954119	arylpolyene.NRPS	Others		
HQB-200_c00002_NODE_2_...region002	c00002_NODE_2_..	NODE_2_length_1084086_cov_79.138557	T1PKS.NRPS	PKS-NRP_Hybrids		
HQB-200_c00005_NODE_5_...region004	c00005_NODE_5_..	NODE_5_length_522673_cov_65.709988	NRPS	NRPS		
HQB-200_c00005_NODE_5_...region005	c00005_NODE_5_..	NODE_5_length_522673_cov_65.709988	NRPS	NRPS		
HQB-200_c00006_NODE_6_...region001	c00006_NODE_6_..	NODE_6_length_219103_cov_92.529316	NRPS-like	NRPS		
HQB-226_Chr1.region003	Chr1	Chr1	NRPS-like.NRPS	NRPS		
HQB-267_c00006_NODE_6_...region003	c00006_NODE_6_..	NODE_6_length_199844_cov_113.724314	T1PKS.NRPS-like.hserlactone.NRPS	Others		
HQB-279_c00008_NODE_8_...region001	c00008_NODE_8_..	NODE_8_length_214851_cov_338.883142	T1PKS.NRPS	PKS-NRP_Hybrids		
HQB-323_Chr1.region006	Chr1	Chr1	T1PKS.NRPS-like	PKS-NRP_Hybrids		
HQB-325_c00001_NODE_1_...region001	c00001_NODE_1_..	NODE_1_length_309831_cov_131.909557	NAPAA	NRPS		
HQB-345_c00007_NODE_7_...region001	c00007_NODE_7_..	NODE_7_length_238664_cov_157.747840	NRPS	NRPS		
HQB-355_Chr1.region002	Chr1	Chr1	NRPS	NRPS		
HQB-39_c00002_NODE_2_...region001	c00002_NODE_2_..	NODE_2_length_385678_cov_91.241208	NRPS	NRPS		
HQB-410_c00006_NODE_6_...region001	c00006_NODE_6_..	NODE_6_length_324921_cov_98.918878	NRPS	NRPS		
HQB-410_c00006_NODE_6_...region002	c00006_NODE_6_..	NODE_6_length_324921_cov_98.918878	NRPS	NRPS		
HQB-452_c00004_NODE_4_...region001	c00004_NODE_4_..	NODE_4_length_490671_cov_170.444025	NAPAA	NRPS		
HQB-458_Chr1.region001	Chr1	Chr1	NRPS	NRPS		
HQB-458_Chr1.region002	Chr1	Chr1	NRPS	NRPS		
HQB-458_Chr1.region003	Chr1	Chr1	arylpolyene.NRPS.ladderane	Others		
HQB-458_Chr1.region004	Chr1	Chr1	NRPS-like	NRPS		
HQB-458_Chr1.region005	Chr1	Chr1	NRPS	NRPS		
HQB-458_Chr1.region007	Chr1	Chr1	NAPAA.betalactone	Others		
HQB-458_Chr1.region011	Chr1	Chr1	NRPS	NRPS		
HQB-458_Chr1.region013	Chr1	Chr1	NRPS	NRPS		
HQB-464_c00001_NODE_1_...region002	c00001_NODE_1_..	NODE_1_length_834039_cov_153.743097	NAPAA	NRPS		
HQB-464_c00004_NODE_4_...region001	c00004_NODE_4_..	NODE_4_length_343704_cov_145.392175	NAPAA	NRPS		
HQB-465_Chr1.region002	Chr1	Chr1	NAPAA	NRPS		
HQB-476_NZ_CP016268.1.region003	NZ_CP016268.1	NZ_CP016268.1 Woeseia oceani strain XK5 chromosome, complete genome	NRPS-like	NRPS		
HQB-491_c00001_NODE_1_...region002	c00001_NODE_1_..	NODE_1_length_1683531_cov_176.049757	NRPS	NRPS		
HQB-498_c00002_NODE_2_...region001	c00002_NODE_2_..	NODE_2_length_384942_cov_212.098593	NAPAA	NRPS		
