BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
HQB-107_c00004_NODE_4_...region001	c00004_NODE_4_..	NODE_4_length_414022_cov_112.023271	RiPP-like	RiPPs		
HQB-107_c00009_NODE_9_...region001	c00009_NODE_9_..	NODE_9_length_274094_cov_110.937110	ranthipeptide	RiPPs		
HQB-107_c00014_NODE_14...region001	c00014_NODE_14..	NODE_14_length_167433_cov_111.434499	RiPP-like	RiPPs		
HQB-10_region005	Chr1	Chr1	RiPP-like	RiPPs		
HQB-111_c00011_NODE_11...region001	c00011_NODE_11..	NODE_11_length_181779_cov_81.838587	RiPP-like	RiPPs		
HQB-111_c00023_NODE_23...region001	c00023_NODE_23..	NODE_23_length_40028_cov_128.296764	RiPP-like	RiPPs		
HQB-114_c00024_NODE_24...region001	c00024_NODE_24..	NODE_24_length_49859_cov_112.200695	RiPP-like	RiPPs		
HQB-123_c00006_NODE_6_...region001	c00006_NODE_6_..	NODE_6_length_112139_cov_156.695508	cyclic-lactone-autoinducer	RiPPs		
HQB-127_c00003_NODE_3_...region001	c00003_NODE_3_..	NODE_3_length_500806_cov_135.799221	RiPP-like	RiPPs		
HQB-127_c00006_NODE_6_...region001	c00006_NODE_6_..	NODE_6_length_188947_cov_138.392879	RRE-containing	RiPPs		
HQB-136_Chr1.region003	Chr1	Chr1	thiopeptide	RiPPs		
HQB-136_Chr1.region004	Chr1	Chr1	RiPP-like	RiPPs		
HQB-138_c00001_NODE_1_...region001	c00001_NODE_1_..	NODE_1_length_449009_cov_94.837670	RRE-containing	RiPPs		
HQB-138_c00002_NODE_2_...region001	c00002_NODE_2_..	NODE_2_length_403689_cov_91.913303	lassopeptide	RiPPs		
HQB-138_c00016_NODE_16...region001	c00016_NODE_16..	NODE_16_length_113603_cov_92.922502	RiPP-like.NRPS.LAP	Others		
HQB-150_c00102_NODE_10...region001	c00102_NODE_10..	NODE_102_length_14377_cov_113.169790	RiPP-like	RiPPs		
HQB-152_Chr1.region005	Chr1	Chr1	RiPP-like	RiPPs		
HQB-154_Chr1.region001	Chr1	Chr1	RiPP-like	RiPPs		
HQB-154_Chr1.region004	Chr1	Chr1	RiPP-like	RiPPs		
HQB-162_Chr1.region001	Chr1	Chr1	RiPP-like	RiPPs		
HQB-162_Chr1.region004	Chr1	Chr1	RiPP-like	RiPPs		
HQB-162_Chr1.region005	Chr1	Chr1	thiopeptide	RiPPs		
HQB-171_c00012_NODE_12...region001	c00012_NODE_12..	NODE_12_length_93878_cov_125.110916	RiPP-like	RiPPs		
HQB-172_c00008_NODE_8_...region001	c00008_NODE_8_..	NODE_8_length_198354_cov_105.054429	RiPP-like	RiPPs		
HQB-174_c00002_NODE_2_...region001	c00002_NODE_2_..	NODE_2_length_1032497_cov_90.174824	RiPP-like	RiPPs		
HQB-174_c00019_NODE_19...region001	c00019_NODE_19..	NODE_19_length_39998_cov_106.933869	RiPP-like	RiPPs		
HQB-177_c00001_NODE_1_...region002	c00001_NODE_1_..	NODE_1_length_701982_cov_150.826622	RiPP-like	RiPPs		
HQB-179_Chr1.region003	Chr1	Chr1	lassopeptide	RiPPs		
HQB-179_Chr1.region004	Chr1	Chr1	RRE-containing	RiPPs		
HQB-179_Chr1.region005	Chr1	Chr1	RiPP-like	RiPPs		
HQB-181_c00002_NODE_2_...region001	c00002_NODE_2_..	NODE_2_length_662929_cov_138.025911	lassopeptide	RiPPs		
HQB-181_c00003_NODE_3_...region003	c00003_NODE_3_..	NODE_3_length_494592_cov_131.148485	RiPP-like.LAP	RiPPs		
HQB-187_c00011_NODE_11...region001	c00011_NODE_11..	NODE_11_length_73016_cov_105.843815	RiPP-like	RiPPs		
HQB-19_NODE_25...region001	c00025_NODE_25..	NODE_25_length_36519_cov_106.560864	RiPP-like	RiPPs		
HQB-19_NODE_2_...region001	c00002_NODE_2_..	NODE_2_length_515170_cov_88.682919	RiPP-like	RiPPs		
HQB-200_c00002_NODE_2_...region001	c00002_NODE_2_..	NODE_2_length_1084086_cov_79.138557	RiPP-like.LAP	RiPPs		
HQB-200_c00003_NODE_3_...region001	c00003_NODE_3_..	NODE_3_length_647679_cov_67.694908	lassopeptide	RiPPs		
HQB-200_c00004_NODE_4_...region001	c00004_NODE_4_..	NODE_4_length_597009_cov_93.820490	lanthipeptide-class-iii	RiPPs		
