#BGC Name	Family Number
HQB-107_c00009_NODE_9_...region001	4
HQB-10_region005	11
HQB-111_c00011_NODE_11...region001	16
HQB-123_c00006_NODE_6_...region001	31
HQB-127_c00003_NODE_3_...region001	35
HQB-127_c00006_NODE_6_...region001	40
HQB-136_Chr1.region003	47
HQB-162_Chr1.region005	47
HQB-410_c00011_NODE_11...region001	47
OP50_c00001_NZ_CP05...region001	47
HQB-138_c00001_NODE_1_...region001	49
HQB-138_c00002_NODE_2_...region001	50
HQB-181_c00002_NODE_2_...region001	50
HQB-240_Chr1.region002	50
HQB-138_c00016_NODE_16...region001	55
HQB-154_Chr1.region004	70
HQB-114_c00024_NODE_24...region001	81
HQB-150_c00102_NODE_10...region001	81
HQB-171_c00012_NODE_12...region001	81
HQB-345_c00012_NODE_12...region001	81
HQB-55_c00015_NODE_15...region001	81
HQB-70_Chr1.region002	81
HQB-152_Chr1.region005	89
HQB-154_Chr1.region001	89
HQB-177_c00001_NODE_1_...region002	89
HQB-323_Chr1.region002	89
HQB-179_Chr1.region003	96
HQB-179_Chr1.region004	97
HQB-107_c00014_NODE_14...region001	98
HQB-179_Chr1.region005	98
HQB-267_c00006_NODE_6_...region001	98
HQB-279_c00007_NODE_7_...region001	98
HQB-347_c00005_NODE_5_...region001	98
HQB-399_c00003_NODE_3_...region001	98
HQB-181_c00003_NODE_3_...region003	107
HQB-136_Chr1.region004	109
HQB-162_Chr1.region004	109
HQB-172_c00008_NODE_8_...region001	109
HQB-187_c00011_NODE_11...region001	109
HQB-226_Chr1.region001	109
HQB-240_Chr1.region001	109
HQB-34_c00004_NODE_4_...region001	109
HQB-75_c00003_NODE_3_...region001	109
HQB-111_c00023_NODE_23...region001	111
HQB-174_c00019_NODE_19...region001	111
HQB-19_NODE_25...region001	111
HQB-20_NODE_29...region001	111
HQB-21_c00019_NODE_19...region001	111
HQB-22_c00015_NODE_15...region001	111
HQB-39_c00031_NODE_31...region001	111
HQB-410_c00003_NODE_3_...region002	111
HQB-410_c00014_NODE_14...region001	111
HQB-471_c00015_NODE_15...region001	111
HQB-174_c00002_NODE_2_...region001	112
HQB-19_NODE_2_...region001	112
HQB-200_c00002_NODE_2_...region001	116
HQB-200_c00004_NODE_4_...region001	120
HQB-200_c00005_NODE_5_...region001	121
HQB-200_c00005_NODE_5_...region002	122
HQB-200_c00010_NODE_10...region001	128
HQB-20_NODE_6_...region002	132
HQB-267_c00006_NODE_6_...region002	158
HQB-325_c00040_NODE_40...region001	187
HQB-332_c00040_NODE_40...region001	193
HQB-410_c00003_NODE_3_...region001	225
HQB-107_c00004_NODE_4_...region001	239
HQB-428_c00020_NODE_20...region001	239
HQB-476_NZ_CP016268.1.region004	239
HQB-491_c00001_NODE_1_...region003	239
HQB-440_Chr1.region001	244
HQB-452_c00003_NODE_3_...region001	249
HQB-476_NZ_CP016268.1.region001	283
HQB-484_c00006_NODE_6_...region001	289
HQB-484_c00007_NODE_7_...region001	290
HQB-484_c00013_NODE_13...region001	292
HQB-46_Chr1.region001	328
HQB-88_c00009_NODE_9_...region001	328
HQB-46_Chr1.region003	329
HQB-5_region003	329
HQB-76_c00004_NODE_4_...region001	329
HQB-86_c00002_NODE_2_...region001	329
HQB-88_c00008_NODE_8_...region001	329
HQB-90_c00001_NODE_1_...region001	329
HQB-39_c00013_NODE_13...region001	332
HQB-90_c00007_NODE_7_...region001	332
HQB-162_Chr1.region001	334
HQB-86_c00010_NODE_10...region001	334
HQB-90_c00010_NODE_10...region001	334
HQB-94_c00006_NODE_6_...region001	339
HQB-200_c00003_NODE_3_...region001	348
HQB-99_c00014_NODE_14...region001	348
