#BGC Name	Clan Number	Family Number
HQB-107_c00007_NODE_7_...region001	304	3
HQB-19_NODE_16...region001	304	110
HQB-361_c00001_NODE_1_...region001	304	209
HQB-5_region001	304	304
HQB-107_c00015_NODE_15...region001	171	6
HQB-281_c00003_NODE_3_...region001	171	171
HQB-332_c00008_NODE_8_...region001	171	190
HQB-46_Chr1.region004	171	279
HQB-476_NZ_CP016268.1.region002	171	284
HQB-88_c00001_NODE_1_...region001	171	325
HQB-90_c00003_NODE_3_...region002	171	331
HQB-10_region001	7	7
HQB-123_c00002_NODE_2_...region001	7	29
HQB-440_Chr1.region004	7	247
HQB-5_region004	7	307
HQB-94_c00006_NODE_6_...region001	7	339
HQB-10_region006	12	12
HQB-476_NZ_CP016268.1.region001	12	283
HQB-94_c00009_NODE_9_...region001	12	340
HQB-110_c00007_NODE_7_...region001	13	13
HQB-279_c00004_NODE_4_...region001	13	163
HQB-111_c00001_NODE_1_...region001	161	14
HQB-279_c00002_NODE_2_...region001	161	161
HQB-90_c00009_NODE_9_...region001	161	333
HQB-111_c00019_NODE_19...region001	335	18
HQB-123_c00003_NODE_3_...region001	335	30
HQB-177_c00001_NODE_1_...region001	335	88
HQB-91_c00001_NODE_1_...region001	335	335
HQB-114_c00012_NODE_12...region001	20	20
HQB-20_NODE_7_...region001	20	20
HQB-21_c00002_NODE_2_...region001	20	20
HQB-345_c00006_NODE_6_...region001	20	20
HQB-410_c00009_NODE_9_...region002	20	20
HQB-111_c00005_NODE_5_...region001	20	85
HQB-171_c00010_NODE_10...region001	20	85
HQB-174_c00004_NODE_4_...region001	20	85
HQB-19_NODE_7_...region001	20	85
HQB-22_c00003_NODE_3_...region001	20	85
HQB-21_c00003_NODE_3_...region001	20	136
HQB-491_c00004_NODE_4_...region001	20	296
HQB-91_c00002_NODE_2_...region001	20	336
HQB-118_c00001_NODE_1_...region001	186	22
HQB-171_c00003_NODE_3_...region001	186	79
HQB-181_c00003_NODE_3_...region001	186	105
HQB-281_c00001_NODE_1_...region001	186	167
HQB-325_c00033_NODE_33...region001	186	186
HQB-440_Chr1.region003	186	246
