BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
HQB-107_c00002_NODE_2_...region002	c00002_NODE_2_..	NODE_2_length_511589_cov_111.143316	T1PKS.NRPS	PKS-NRP_Hybrids		
HQB-10_region004	Chr1	Chr1	T3PKS	PKSother		
HQB-118_c00003_NODE_3_...region002	c00003_NODE_3_..	NODE_3_length_546248_cov_103.790952	T3PKS	PKSother		
HQB-123_c00003_NODE_3_...region001	c00003_NODE_3_..	NODE_3_length_274713_cov_199.905005	terpene.T3PKS	Others		
HQB-127_c00004_NODE_4_...region002	c00004_NODE_4_..	NODE_4_length_377269_cov_129.703329	T3PKS	PKSother		
HQB-136_Chr1.region002	Chr1	Chr1	PUFA.hglE-KS	Others		
HQB-138_c00002_NODE_2_...region002	c00002_NODE_2_..	NODE_2_length_403689_cov_91.913303	T3PKS	PKSother		
HQB-152_Chr1.region004	Chr1	Chr1	T1PKS.NRPS-like	PKS-NRP_Hybrids		
HQB-154_Chr1.region002	Chr1	Chr1	T1PKS.NRPS-like	PKS-NRP_Hybrids		
HQB-162_Chr1.region003	Chr1	Chr1	PUFA.hglE-KS	Others		
HQB-171_c00001_NODE_1_...region001	c00001_NODE_1_..	NODE_1_length_724838_cov_92.878468	PKS-like	PKSother		
HQB-179_Chr1.region002	Chr1	Chr1	T3PKS	PKSother		
HQB-181_c00001_NODE_1_...region002	c00001_NODE_1_..	NODE_1_length_1146021_cov_126.563021	T3PKS	PKSother		
HQB-200_c00002_NODE_2_...region002	c00002_NODE_2_..	NODE_2_length_1084086_cov_79.138557	T1PKS.NRPS	PKS-NRP_Hybrids		
HQB-263_c00005_NODE_5_...region001	c00005_NODE_5_..	NODE_5_length_168788_cov_188.606890	T3PKS	PKSother		
HQB-267_c00005_NODE_5_...region002	c00005_NODE_5_..	NODE_5_length_205635_cov_138.785005	T3PKS	PKSother		
HQB-279_c00005_NODE_5_...region001	c00005_NODE_5_..	NODE_5_length_321546_cov_170.096504	T3PKS	PKSother		
HQB-279_c00008_NODE_8_...region001	c00008_NODE_8_..	NODE_8_length_214851_cov_338.883142	T1PKS.NRPS	PKS-NRP_Hybrids		
HQB-323_Chr1.region006	Chr1	Chr1	T1PKS.NRPS-like	PKS-NRP_Hybrids		
HQB-325_c00014_NODE_14...region002	c00014_NODE_14..	NODE_14_length_89888_cov_125.312378	T3PKS	PKSother		
HQB-325_c00043_NODE_43...region001	c00043_NODE_43..	NODE_43_length_24033_cov_131.512272	T3PKS	PKSother		
HQB-332_c00001_NODE_1_...region001	c00001_NODE_1_..	NODE_1_length_325243_cov_159.859038	T3PKS	PKSother		
HQB-332_c00015_NODE_15...region001	c00015_NODE_15..	NODE_15_length_102697_cov_164.882284	T3PKS	PKSother		
HQB-347_c00001_NODE_1_...region001	c00001_NODE_1_..	NODE_1_length_1464504_cov_125.440656	T3PKS	PKSother		
HQB-423_c00004_NODE_4_...region001	c00004_NODE_4_..	NODE_4_length_378387_cov_194.101287	T3PKS	PKSother		
HQB-452_c00006_NODE_6_...region001	c00006_NODE_6_..	NODE_6_length_87563_cov_153.790892	betalactone.T3PKS	Others		
HQB-464_c00002_NODE_2_...region001	c00002_NODE_2_..	NODE_2_length_745500_cov_151.771668	T3PKS	PKSother		
HQB-465_Chr1.region001	Chr1	Chr1	T3PKS	PKSother		
HQB-465_Chr1.region003	Chr1	Chr1	T3PKS	PKSother		
HQB-46_Chr1.region002	Chr1	Chr1	PUFA.hglE-KS	Others		
HQB-484_c00001_NODE_1_...region002	c00001_NODE_1_..	NODE_1_length_1881531_cov_105.596491	T3PKS	PKSother		
HQB-5_region004	c00001_NZ_CP03..	NZ_CP033575.1_RagTag	PUFA.hglE-KS	Others		
HQB-76_c00001_NODE_1_...region001	c00001_NODE_1_..	NODE_1_length_749497_cov_105.412378	PUFA.hglE-KS	Others		
HQB-86_c00001_NODE_1_...region002	c00001_NODE_1_..	NODE_1_length_660437_cov_103.673339	PUFA.hglE-KS	Others		
HQB-88_c00001_NODE_1_...region001	c00001_NODE_1_..	NODE_1_length_530278_cov_111.617066	PUFA.hglE-KS	Others		
HQB-90_c00003_NODE_3_...region002	c00003_NODE_3_..	NODE_3_length_493336_cov_99.688283	PUFA.hglE-KS	Others		
HQB-94_c00019_NODE_19...region001	c00019_NODE_19..	NODE_19_length_54538_cov_81.018362	T3PKS	PKSother		
HQB-99_c00002_NODE_2_...region001	c00002_NODE_2_..	NODE_2_length_1237376_cov_77.549521	T3PKS	PKSother		
