BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
HQB-10_region002	Chr1	Chr1	terpene	Terpene		
HQB-10_region003	Chr1	Chr1	terpene	Terpene		
HQB-118_c00002_NODE_2_...region001	c00002_NODE_2_..	NODE_2_length_769783_cov_109.089489	terpene	Terpene		
HQB-118_c00017_NODE_17...region001	c00017_NODE_17..	NODE_17_length_32576_cov_100.970584	terpene	Terpene		
HQB-123_c00003_NODE_3_...region001	c00003_NODE_3_..	NODE_3_length_274713_cov_199.905005	terpene.T3PKS	Others		
HQB-127_c00004_NODE_4_...region001	c00004_NODE_4_..	NODE_4_length_377269_cov_129.703329	terpene	Terpene		
HQB-127_c00006_NODE_6_...region002	c00006_NODE_6_..	NODE_6_length_188947_cov_138.392879	terpene	Terpene		
HQB-138_c00002_NODE_2_...region003	c00002_NODE_2_..	NODE_2_length_403689_cov_91.913303	terpene	Terpene		
HQB-138_c00004_NODE_4_...region001	c00004_NODE_4_..	NODE_4_length_285451_cov_90.407024	terpene	Terpene		
HQB-179_Chr1.region001	Chr1	Chr1	terpene	Terpene		
HQB-180_Chr1.region001	Chr1	Chr1	terpene	Terpene		
HQB-181_c00001_NODE_1_...region004	c00001_NODE_1_..	NODE_1_length_1146021_cov_126.563021	terpene	Terpene		
HQB-181_c00003_NODE_3_...region004	c00003_NODE_3_..	NODE_3_length_494592_cov_131.148485	terpene	Terpene		
HQB-200_c00009_NODE_9_...region001	c00009_NODE_9_..	NODE_9_length_205924_cov_74.504574	terpene	Terpene		
HQB-263_c00020_NODE_20...region001	c00020_NODE_20..	NODE_20_length_69508_cov_254.976048	terpene	Terpene		
HQB-267_c00005_NODE_5_...region001	c00005_NODE_5_..	NODE_5_length_205635_cov_138.785005	terpene	Terpene		
HQB-279_c00003_NODE_3_...region001	c00003_NODE_3_..	NODE_3_length_364859_cov_148.828769	terpene	Terpene		
HQB-294_c00001_NODE_1_...region001	c00001_NODE_1_..	NODE_1_length_825747_cov_195.048610	terpene	Terpene		
HQB-323_Chr1.region004	Chr1	Chr1	terpene	Terpene		
HQB-325_c00014_NODE_14...region001	c00014_NODE_14..	NODE_14_length_89888_cov_125.312378	terpene	Terpene		
HQB-332_c00017_NODE_17...region001	c00017_NODE_17..	NODE_17_length_89738_cov_159.864356	terpene	Terpene		
HQB-355_Chr1.region001	Chr1	Chr1	terpene	Terpene		
HQB-423_c00008_NODE_8_...region001	c00008_NODE_8_..	NODE_8_length_185845_cov_192.650451	terpene	Terpene		
HQB-423_c00018_NODE_18...region001	c00018_NODE_18..	NODE_18_length_62649_cov_192.129771	terpene	Terpene		
HQB-452_c00002_NODE_2_...region001	c00002_NODE_2_..	NODE_2_length_858317_cov_168.714889	terpene	Terpene		
HQB-458_Chr1.region010	Chr1	Chr1	terpene	Terpene		
HQB-458_Chr1.region012	Chr1	Chr1	terpene	Terpene		
HQB-464_c00001_NODE_1_...region001	c00001_NODE_1_..	NODE_1_length_834039_cov_153.743097	terpene	Terpene		
HQB-464_c00004_NODE_4_...region002	c00004_NODE_4_..	NODE_4_length_343704_cov_145.392175	terpene	Terpene		
HQB-465_Chr1.region005	Chr1	Chr1	terpene	Terpene		
HQB-484_c00001_NODE_1_...region001	c00001_NODE_1_..	NODE_1_length_1881531_cov_105.596491	terpene	Terpene		
HQB-484_c00007_NODE_7_...region002	c00007_NODE_7_..	NODE_7_length_220571_cov_114.835129	terpene	Terpene		
HQB-94_c00006_NODE_6_...region001	c00006_NODE_6_..	NODE_6_length_356988_cov_72.057953	terpene.RiPP-like.LAP	Others		
HQB-99_c00001_NODE_1_...region001	c00001_NODE_1_..	NODE_1_length_2887020_cov_78.031056	terpene	Terpene		
HQB-99_c00001_NODE_1_...region002	c00001_NODE_1_..	NODE_1_length_2887020_cov_78.031056	terpene	Terpene		
HQB-99_c00002_NODE_2_...region003	c00002_NODE_2_..	NODE_2_length_1237376_cov_77.549521	terpene	Terpene		
