#BGC Name	Family Number
HQB-107_c00002_NODE_2_...region001	0
HQB-107_c00002_NODE_2_...region002	1
HQB-107_c00004_NODE_4_...region001	2
HQB-107_c00007_NODE_7_...region001	3
HQB-107_c00009_NODE_9_...region001	4
HQB-107_c00014_NODE_14...region001	5
HQB-10_region002	8
HQB-10_region003	9
HQB-118_c00017_NODE_17...region001	9
HQB-10_region004	10
HQB-118_c00003_NODE_3_...region002	10
HQB-10_region005	11
HQB-10_region006	12
HQB-110_c00007_NODE_7_...region001	13
HQB-111_c00001_NODE_1_...region001	14
HQB-111_c00011_NODE_11...region001	16
HQB-111_c00013_NODE_13...region001	17
HQB-114_c00024_NODE_24...region001	21
HQB-171_c00012_NODE_12...region001	21
HQB-345_c00012_NODE_12...region001	21
HQB-410_c00014_NODE_14...region001	21
HQB-10_region001	22
HQB-118_c00001_NODE_1_...region001	22
HQB-118_c00001_NODE_1_...region002	23
HQB-118_c00002_NODE_2_...region001	24
HQB-118_c00002_NODE_2_...region002	25
HQB-123_c00002_NODE_2_...region001	29
HQB-123_c00003_NODE_3_...region001	30
HQB-123_c00006_NODE_6_...region001	31
HQB-127_c00001_NODE_1_...region001	32
HQB-127_c00002_NODE_2_...region001	34
HQB-127_c00003_NODE_3_...region001	35
HQB-127_c00003_NODE_3_...region002	36
HQB-127_c00004_NODE_4_...region001	37
HQB-127_c00004_NODE_4_...region002	38
HQB-138_c00002_NODE_2_...region002	38
HQB-127_c00005_NODE_5_...region001	39
HQB-127_c00006_NODE_6_...region001	40
HQB-127_c00006_NODE_6_...region002	41
HQB-99_c00002_NODE_2_...region003	41
HQB-127_c00010_NODE_10...region001	42
HQB-127_c00011_NODE_11...region001	43
HQB-127_c00016_NODE_16...region001	44
HQB-136_Chr1.region001	45
HQB-136_Chr1.region002	46
HQB-162_Chr1.region003	46
HQB-46_Chr1.region002	46
HQB-88_c00001_NODE_1_...region001	46
HQB-138_c00001_NODE_1_...region001	49
HQB-138_c00002_NODE_2_...region001	50
HQB-138_c00002_NODE_2_...region003	52
HQB-138_c00004_NODE_4_...region001	53
HQB-138_c00005_NODE_5_...region001	54
HQB-138_c00016_NODE_16...region001	55
HQB-138_c00023_NODE_23...region001	56
HQB-150_c00010_NODE_10...region001	57
HQB-150_c00014_NODE_14...region001	58
HQB-345_c00006_NODE_6_...region001	58
HQB-410_c00009_NODE_9_...region002	58
HQB-471_c00013_NODE_13...region001	58
HQB-111_c00019_NODE_19...region001	59
HQB-150_c00049_NODE_49...region001	59
HQB-22_c00002_NODE_2_...region001	59
HQB-91_c00001_NODE_1_...region001	59
HQB-152_Chr1.region001	61
HQB-152_Chr1.region002	62
HQB-152_Chr1.region003	63
HQB-154_Chr1.region003	63
HQB-323_Chr1.region005	63
HQB-152_Chr1.region004	64
HQB-154_Chr1.region002	64
HQB-152_Chr1.region006	66
HQB-154_Chr1.region004	70
HQB-154_Chr1.region005	71
HQB-162_Chr1.region002	73
HQB-136_Chr1.region003	76
HQB-162_Chr1.region005	76
HQB-171_c00001_NODE_1_...region001	78
HQB-171_c00003_NODE_3_...region001	79
HQB-20_NODE_2_...region001	79
HQB-345_c00001_NODE_1_...region001	79
HQB-174_c00001_NODE_1_...region001	83
HQB-111_c00005_NODE_5_...region001	85
HQB-114_c00012_NODE_12...region001	85
HQB-171_c00010_NODE_10...region001	85
HQB-174_c00004_NODE_4_...region001	85
HQB-19_NODE_7_...region001	85
HQB-20_NODE_7_...region001	85
HQB-21_c00002_NODE_2_...region001	85
HQB-22_c00003_NODE_3_...region001	85
HQB-174_c00009_NODE_9_...region001	86
HQB-19_NODE_16...region001	86
HQB-177_c00001_NODE_1_...region001	88
HQB-279_c00002_NODE_2_...region001	88
HQB-152_Chr1.region005	89
HQB-154_Chr1.region001	89
HQB-177_c00001_NODE_1_...region002	89
HQB-323_Chr1.region002	89
HQB-177_c00003_NODE_3_...region001	90
HQB-323_Plas2.region001	90
HQB-177_c00008_NODE_8_...region001	92
HQB-177_c00008_NODE_8_...region002	93
HQB-179_Chr1.region001	94
HQB-179_Chr1.region002	95
