#BGC Name	Family Number
HQB-10_region002	8
HQB-118_c00002_NODE_2_...region001	24
HQB-10_region003	28
HQB-118_c00017_NODE_17...region001	28
HQB-181_c00003_NODE_3_...region004	28
HQB-423_c00008_NODE_8_...region001	28
HQB-123_c00003_NODE_3_...region001	30
HQB-127_c00004_NODE_4_...region001	52
HQB-138_c00002_NODE_2_...region003	52
HQB-138_c00004_NODE_4_...region001	53
HQB-99_c00001_NODE_1_...region002	53
HQB-179_Chr1.region001	94
HQB-180_Chr1.region001	99
HQB-355_Chr1.region001	99
HQB-181_c00001_NODE_1_...region004	103
HQB-200_c00009_NODE_9_...region001	127
HQB-263_c00020_NODE_20...region001	150
HQB-267_c00005_NODE_5_...region001	155
HQB-279_c00003_NODE_3_...region001	172
HQB-294_c00001_NODE_1_...region001	172
HQB-323_Chr1.region004	172
HQB-325_c00014_NODE_14...region001	184
HQB-423_c00018_NODE_18...region001	236
HQB-332_c00017_NODE_17...region001	248
HQB-452_c00002_NODE_2_...region001	248
HQB-464_c00001_NODE_1_...region001	248
HQB-465_Chr1.region005	248
HQB-458_Chr1.region010	261
HQB-458_Chr1.region012	263
HQB-464_c00004_NODE_4_...region002	269
HQB-484_c00001_NODE_1_...region001	287
HQB-484_c00007_NODE_7_...region002	291
HQB-94_c00006_NODE_6_...region001	339
HQB-99_c00001_NODE_1_...region001	342
HQB-127_c00006_NODE_6_...region002	347
HQB-99_c00002_NODE_2_...region003	347
