#BGC Name	Family Number
HQB-107_c00002_NODE_2_...region002	1
HQB-152_Chr1.region004	68
HQB-154_Chr1.region002	68
HQB-267_c00006_NODE_6_...region003	68
HQB-279_c00008_NODE_8_...region001	68
HQB-323_Chr1.region006	68
HQB-174_c00009_NODE_9_...region001	110
HQB-19_NODE_16...region001	110
HQB-107_c00002_NODE_2_...region001	124
HQB-127_c00010_NODE_10...region001	124
HQB-138_c00016_NODE_16...region001	124
HQB-200_c00002_NODE_2_...region002	124
HQB-200_c00005_NODE_5_...region004	124
HQB-226_Chr1.region003	124
HQB-410_c00006_NODE_6_...region001	124
HQB-458_Chr1.region011	124
HQB-458_Chr1.region013	124
HQB-86_c00013_NODE_13...region001	124
HQB-127_c00005_NODE_5_...region001	125
HQB-127_c00011_NODE_11...region001	125
HQB-177_c00008_NODE_8_...region002	125
HQB-200_c00005_NODE_5_...region005	125
HQB-458_Chr1.region001	125
HQB-458_Chr1.region002	125
HQB-86_c00003_NODE_3_...region001	125
OP50_c00001_NZ_CP05...region002	125
HQB-200_c00006_NODE_6_...region001	126
HQB-355_Chr1.region002	208
HQB-127_c00016_NODE_16...region001	218
HQB-345_c00007_NODE_7_...region001	218
HQB-39_c00002_NODE_2_...region001	218
HQB-55_c00003_NODE_3_...region001	218
HQB-111_c00013_NODE_13...region001	228
HQB-174_c00001_NODE_1_...region001	228
HQB-410_c00006_NODE_6_...region002	228
HQB-458_Chr1.region005	228
HQB-491_c00001_NODE_1_...region002	228
HQB-325_c00001_NODE_1_...region001	250
HQB-452_c00004_NODE_4_...region001	250
HQB-458_Chr1.region007	250
HQB-464_c00001_NODE_1_...region002	250
HQB-465_Chr1.region002	250
HQB-498_c00002_NODE_2_...region001	250
HQB-458_Chr1.region003	254
HQB-458_Chr1.region004	255
HQB-464_c00004_NODE_4_...region001	268
HQB-476_NZ_CP016268.1.region003	285
HQB-70_Chr1.region003	311
HQB-86_c00001_NODE_1_...region001	317
