#BGC Name	Family Number
HQB-107_c00007_NODE_7_...region001	3
HQB-10_region006	12
HQB-110_c00007_NODE_7_...region001	13
HQB-111_c00001_NODE_1_...region001	14
HQB-10_region001	22
HQB-118_c00001_NODE_1_...region001	22
HQB-118_c00001_NODE_1_...region002	23
HQB-118_c00002_NODE_2_...region002	25
HQB-123_c00002_NODE_2_...region001	29
HQB-123_c00003_NODE_3_...region001	30
HQB-127_c00001_NODE_1_...region001	32
HQB-127_c00002_NODE_2_...region001	34
HQB-127_c00003_NODE_3_...region002	36
HQB-138_c00005_NODE_5_...region001	54
HQB-138_c00016_NODE_16...region001	55
HQB-138_c00023_NODE_23...region001	56
HQB-150_c00010_NODE_10...region001	57
HQB-150_c00014_NODE_14...region001	58
HQB-345_c00006_NODE_6_...region001	58
HQB-410_c00009_NODE_9_...region002	58
HQB-471_c00013_NODE_13...region001	58
HQB-152_Chr1.region001	61
HQB-152_Chr1.region002	62
HQB-152_Chr1.region003	63
HQB-154_Chr1.region003	63
HQB-323_Chr1.region005	63
HQB-152_Chr1.region006	66
HQB-154_Chr1.region005	71
HQB-162_Chr1.region002	73
HQB-171_c00003_NODE_3_...region001	79
HQB-20_NODE_2_...region001	79
HQB-345_c00001_NODE_1_...region001	79
HQB-491_c00004_NODE_4_...region002	79
HQB-91_c00001_NODE_1_...region001	79
HQB-111_c00005_NODE_5_...region001	85
HQB-114_c00012_NODE_12...region001	85
HQB-171_c00010_NODE_10...region001	85
HQB-174_c00004_NODE_4_...region001	85
HQB-19_NODE_7_...region001	85
HQB-20_NODE_7_...region001	85
HQB-21_c00002_NODE_2_...region001	85
HQB-22_c00003_NODE_3_...region001	85
HQB-177_c00001_NODE_1_...region001	88
HQB-279_c00002_NODE_2_...region001	88
HQB-177_c00003_NODE_3_...region001	90
HQB-323_Plas2.region001	90
HQB-177_c00008_NODE_8_...region001	92
HQB-181_c00001_NODE_1_...region001	100
HQB-181_c00001_NODE_1_...region003	102
HQB-181_c00003_NODE_3_...region001	105
HQB-118_c00003_NODE_3_...region001	106
HQB-127_c00001_NODE_1_...region002	106
HQB-181_c00003_NODE_3_...region002	106
HQB-200_c00002_NODE_2_...region003	118
HQB-200_c00005_NODE_5_...region003	123
HQB-21_c00001_NODE_1_...region001	134
HQB-21_c00003_NODE_3_...region001	136
HQB-226_Chr1.region002	139
HQB-226_Chr1.region004	141
HQB-19_NODE_4_...region001	142
HQB-20_NODE_6_...region001	142
HQB-22_c00001_NODE_1_...region001	142
HQB-19_NODE_3_...region001	144
HQB-22_c00002_NODE_2_...region002	144
HQB-267_c00001_NODE_1_...region001	151
HQB-267_c00002_NODE_2_...region001	152
HQB-267_c00003_NODE_3_...region001	153
HQB-267_c00003_NODE_3_...region002	154
HQB-267_c00006_NODE_6_...region003	159
HQB-267_c00020_NODE_20...region001	160
HQB-281_c00001_NODE_1_...region001	167
HQB-281_c00001_NODE_1_...region002	168
