#BGC Name	Clan Number	Family Number
HQB-107_c00002_NODE_2_...region002	1	1
HQB-10_region004	10	10
HQB-118_c00003_NODE_3_...region002	10	10
HQB-123_c00003_NODE_3_...region001	30	30
HQB-127_c00004_NODE_4_...region002	38	38
HQB-136_Chr1.region002	46	46
HQB-138_c00002_NODE_2_...region002	51	51
HQB-152_Chr1.region004	64	64
HQB-154_Chr1.region002	68	68
HQB-162_Chr1.region003	74	74
HQB-171_c00001_NODE_1_...region001	78	78
HQB-179_Chr1.region002	95	95
HQB-181_c00001_NODE_1_...region002	101	101
HQB-200_c00002_NODE_2_...region002	117	117
HQB-263_c00005_NODE_5_...region001	149	149
HQB-267_c00005_NODE_5_...region002	156	156
HQB-279_c00005_NODE_5_...region001	164	164
HQB-279_c00008_NODE_8_...region001	166	166
HQB-323_Chr1.region006	180	180
HQB-325_c00014_NODE_14...region002	185	185
HQB-325_c00043_NODE_43...region001	188	188
HQB-332_c00001_NODE_1_...region001	189	189
HQB-332_c00015_NODE_15...region001	191	191
HQB-347_c00001_NODE_1_...region001	199	199
HQB-423_c00004_NODE_4_...region001	234	234
HQB-452_c00006_NODE_6_...region001	251	251
HQB-464_c00002_NODE_2_...region001	267	267
HQB-465_Chr1.region001	271	271
HQB-465_Chr1.region003	273	273
HQB-46_Chr1.region002	277	277
HQB-484_c00001_NODE_1_...region002	288	288
HQB-5_region004	307	307
HQB-76_c00001_NODE_1_...region001	313	313
HQB-86_c00001_NODE_1_...region002	318	318
HQB-88_c00001_NODE_1_...region001	325	325
HQB-90_c00003_NODE_3_...region002	331	331
HQB-94_c00019_NODE_19...region001	341	341
HQB-99_c00002_NODE_2_...region001	345	345
